card_id,card_name,price,card_type_code,set,discard_action_code,scan_action_code,income_code
dlc_23.png,中性浮力训练,1,1,space-agency,2,0,1
dlc_24.png,太空电梯,2,1,space-agency,0,0,2
dlc_25.png,激光干涉引力波天文台,1,1,space-agency,0,1,1
dlc_26.png,新型AI模型,0,1,space-agency,0,2,0
dlc_27.png,更优太阳能板,0,0,space-agency,0,1,2
dlc_28.png,重组,1,2,space-agency,1,1,0
dlc_29.png,废弃任务,1,0,space-agency,2,2,1
dlc_30.png,晓号轨道器,2,0,space-agency,2,2,1
dlc_31.png,机智号直升机,1,3,space-agency,0,0,0
dlc_32.png,MUREP创意竞赛,1,0,space-agency,1,1,0
dlc_33.png,延期发射,1,1,space-agency,2,2,1
dlc_34.png,私营部门投资,2,0,space-agency,1,1,1
dlc_35.png,NASA系外行星档案,1,2,space-agency,0,0,2
dlc_36.png,大耳朵射电望远镜,2,0,space-agency,2,3,2
dlc_37.png,潘多拉卫星,0,0,space-agency,0,0,2
dlc_38.png,太空交会,1,0,space-agency,1,0,1
dlc_39.png,大巡游计划,2,3,space-agency,0,1,0
dlc_40.png,霍尔效应推进器,2,0,space-agency,1,2,0
dlc_41.png,系外行星巡天,2,2,space-agency,2,2,1
dlc_42.png,低频阵列,2,2,space-agency,0,0,2
